start...
Finetuning mode
Load outputs/2023-03-21-09-45-01/trained_model/tetris_epoch2983_score41400.pt...
Epoch: 69 / 5000, Score: 3900,  block: 121,  Reward: 1.9 Cleared lines: 31
Epoch: 70 / 5000, Score: 7100,  block: 162,  Reward: 3.9 Cleared lines: 49
Epoch: 71 / 5000, Score: 3900,  block: 132,  Reward: 1.6 Cleared lines: 37
Epoch: 72 / 5000, Score: 1900,  block: 96,  Reward: 0.6 Cleared lines: 24
Epoch: 73 / 5000, Score: -200,  block: 56,  Reward: -0.5 Cleared lines: 9
Epoch: 74 / 5000, Score: 900,  block: 77,  Reward: 0.1 Cleared lines: 16
Epoch: 75 / 5000, Score: 2300,  block: 79,  Reward: 1.1 Cleared lines: 20
Epoch: 76 / 5000, Score: 11500,  block: 185,  Reward: 6.8 Cleared lines: 63
Epoch: 77 / 5000, Score: -1200,  block: 39,  Reward: -0.9 Cleared lines: 1
Epoch: 78 / 5000, Score: 8800,  block: 177,  Reward: 4.7 Cleared lines: 55
Epoch: 79 / 5000, Score: 800,  block: 67,  Reward: 0.1 Cleared lines: 11
Epoch: 80 / 5000, Score: 2900,  block: 118,  Reward: 1.1 Cleared lines: 31
Epoch: 81 / 5000, Score: 2000,  block: 92,  Reward: 1.0 Cleared lines: 20
Epoch: 82 / 5000, Score: 2200,  block: 94,  Reward: 0.8 Cleared lines: 21
Epoch: 83 / 5000, Score: -1100,  block: 47,  Reward: -0.9 Cleared lines: 2
Epoch: 84 / 5000, Score: 12100,  block: 277,  Reward: 6.4 Cleared lines: 97
Epoch: 85 / 5000, Score: 7200,  block: 173,  Reward: 3.9 Cleared lines: 53
Epoch: 86 / 5000, Score: 13300,  block: 261,  Reward: 7.0 Cleared lines: 91
Epoch: 87 / 5000, Score: 6200,  block: 155,  Reward: 3.4 Cleared lines: 45
Epoch: 88 / 5000, Score: 18900,  block: 330,  Reward: 10.5 Cleared lines: 122
Epoch: 89 / 5000, Score: 500,  block: 75,  Reward: -0.1 Cleared lines: 15
Epoch: 90 / 5000, Score: -500,  block: 56,  Reward: -0.6 Cleared lines: 8
Epoch: 91 / 5000, Score: 5000,  block: 159,  Reward: 2.5 Cleared lines: 47
Epoch: 92 / 5000, Score: 3200,  block: 107,  Reward: 1.2 Cleared lines: 28
Epoch: 93 / 5000, Score: 2700,  block: 104,  Reward: 1.3 Cleared lines: 26
Epoch: 94 / 5000, Score: 8100,  block: 155,  Reward: 4.7 Cleared lines: 49
Epoch: 95 / 5000, Score: 2400,  block: 114,  Reward: 0.9 Cleared lines: 32
Epoch: 96 / 5000, Score: 2200,  block: 94,  Reward: 1.1 Cleared lines: 21
Epoch: 97 / 5000, Score: 800,  block: 75,  Reward: 0.1 Cleared lines: 15
Epoch: 98 / 5000, Score: 3300,  block: 109,  Reward: 1.6 Cleared lines: 27
Epoch: 99 / 5000, Score: 4500,  block: 132,  Reward: 2.2 Cleared lines: 38
Epoch: 100 / 5000, Score: 3000,  block: 97,  Reward: 1.5 Cleared lines: 23
Epoch: 101 / 5000, Score: -100,  block: 54,  Reward: -0.4 Cleared lines: 7
Epoch: 102 / 5000, Score: 2500,  block: 100,  Reward: 0.9 Cleared lines: 25
Epoch: 103 / 5000, Score: 7600,  block: 176,  Reward: 4.5 Cleared lines: 53
Epoch: 104 / 5000, Score: 10000,  block: 200,  Reward: 5.7 Cleared lines: 64
Epoch: 105 / 5000, Score: 11500,  block: 231,  Reward: 6.4 Cleared lines: 76
Epoch: 106 / 5000, Score: 2800,  block: 102,  Reward: 1.4 Cleared lines: 25
Epoch: 107 / 5000, Score: -400,  block: 56,  Reward: -0.6 Cleared lines: 7
Epoch: 108 / 5000, Score: -600,  block: 55,  Reward: -0.7 Cleared lines: 6
Epoch: 109 / 5000, Score: 6900,  block: 173,  Reward: 3.4 Cleared lines: 56
Epoch: 110 / 5000, Score: 3700,  block: 136,  Reward: 1.5 Cleared lines: 45
Epoch: 111 / 5000, Score: 9600,  block: 208,  Reward: 4.8 Cleared lines: 69
Epoch: 112 / 5000, Score: 7700,  block: 180,  Reward: 4.2 Cleared lines: 56
Epoch: 113 / 5000, Score: 5400,  block: 159,  Reward: 2.3 Cleared lines: 47
Epoch: 114 / 5000, Score: 1900,  block: 83,  Reward: 0.9 Cleared lines: 17
Epoch: 115 / 5000, Score: -1300,  block: 36,  Reward: -1.0 Cleared lines: 0
Epoch: 116 / 5000, Score: 2800,  block: 123,  Reward: 1.1 Cleared lines: 34
Epoch: 117 / 5000, Score: 7600,  block: 171,  Reward: 4.5 Cleared lines: 54
Epoch: 118 / 5000, Score: -200,  block: 51,  Reward: -0.4 Cleared lines: 7
Epoch: 119 / 5000, Score: 17400,  block: 327,  Reward: 9.4 Cleared lines: 117
Epoch: 120 / 5000, Score: 1000,  block: 66,  Reward: 0.2 Cleared lines: 16
Epoch: 121 / 5000, Score: 1600,  block: 81,  Reward: 0.8 Cleared lines: 16
Epoch: 122 / 5000, Score: 600,  block: 81,  Reward: -0.0 Cleared lines: 17
Epoch: 123 / 5000, Score: 200,  block: 63,  Reward: -0.2 Cleared lines: 12
Epoch: 124 / 5000, Score: 9200,  block: 196,  Reward: 5.3 Cleared lines: 69
Epoch: 125 / 5000, Score: 100,  block: 74,  Reward: -0.3 Cleared lines: 14
Epoch: 126 / 5000, Score: 5300,  block: 156,  Reward: 2.6 Cleared lines: 47
Epoch: 127 / 5000, Score: 2800,  block: 113,  Reward: 1.1 Cleared lines: 30
Epoch: 128 / 5000, Score: 7000,  block: 171,  Reward: 3.5 Cleared lines: 56
Epoch: 129 / 5000, Score: 6900,  block: 199,  Reward: 3.1 Cleared lines: 64
Epoch: 130 / 5000, Score: 1200,  block: 74,  Reward: 0.3 Cleared lines: 15
Epoch: 131 / 5000, Score: 0,  block: 56,  Reward: -0.3 Cleared lines: 8
Epoch: 132 / 5000, Score: -200,  block: 57,  Reward: -0.4 Cleared lines: 9
Epoch: 133 / 5000, Score: 5000,  block: 162,  Reward: 2.1 Cleared lines: 50
Epoch: 134 / 5000, Score: 600,  block: 64,  Reward: -0.0 Cleared lines: 11
Epoch: 135 / 5000, Score: 18300,  block: 298,  Reward: 10.9 Cleared lines: 106
Epoch: 136 / 5000, Score: 1700,  block: 101,  Reward: 0.5 Cleared lines: 24
Epoch: 137 / 5000, Score: 3700,  block: 118,  Reward: 1.5 Cleared lines: 34
Epoch: 138 / 5000, Score: 6700,  block: 148,  Reward: 3.7 Cleared lines: 45
Epoch: 139 / 5000, Score: 8700,  block: 181,  Reward: 5.0 Cleared lines: 57
Epoch: 140 / 5000, Score: -1300,  block: 38,  Reward: -1.0 Cleared lines: 0
Epoch: 141 / 5000, Score: -100,  block: 58,  Reward: -0.4 Cleared lines: 8
Epoch: 142 / 5000, Score: -1200,  block: 41,  Reward: -0.9 Cleared lines: 1
Epoch: 143 / 5000, Score: 1600,  block: 65,  Reward: 0.8 Cleared lines: 12
Epoch: 144 / 5000, Score: 300,  block: 65,  Reward: -0.2 Cleared lines: 12
Epoch: 145 / 5000, Score: 5000,  block: 139,  Reward: 2.8 Cleared lines: 40
Epoch: 146 / 5000, Score: -1200,  block: 44,  Reward: -0.9 Cleared lines: 1
Epoch: 147 / 5000, Score: -1200,  block: 35,  Reward: -0.9 Cleared lines: 1
Epoch: 148 / 5000, Score: 9700,  block: 214,  Reward: 5.2 Cleared lines: 70
Epoch: 149 / 5000, Score: 4600,  block: 149,  Reward: 2.3 Cleared lines: 46
Epoch: 150 / 5000, Score: -1100,  block: 43,  Reward: -0.9 Cleared lines: 2
Epoch: 151 / 5000, Score: 4500,  block: 135,  Reward: 1.9 Cleared lines: 38
Epoch: 152 / 5000, Score: 2000,  block: 87,  Reward: 1.0 Cleared lines: 19
Epoch: 153 / 5000, Score: -900,  block: 45,  Reward: -0.8 Cleared lines: 3
Epoch: 154 / 5000, Score: -600,  block: 56,  Reward: -0.7 Cleared lines: 7
Epoch: 155 / 5000, Score: 14200,  block: 284,  Reward: 8.2 Cleared lines: 96
Epoch: 156 / 5000, Score: -400,  block: 41,  Reward: -0.6 Cleared lines: 5
Epoch: 157 / 5000, Score: 3500,  block: 101,  Reward: 1.4 Cleared lines: 30
Epoch: 158 / 5000, Score: 16100,  block: 333,  Reward: 8.4 Cleared lines: 116
Epoch: 159 / 5000, Score: 1200,  block: 76,  Reward: 0.3 Cleared lines: 16
Epoch: 160 / 5000, Score: 3700,  block: 109,  Reward: 2.2 Cleared lines: 28
Epoch: 161 / 5000, Score: 9900,  block: 241,  Reward: 4.9 Cleared lines: 79
Epoch: 162 / 5000, Score: 1900,  block: 111,  Reward: 0.6 Cleared lines: 29
Epoch: 163 / 5000, Score: 1100,  block: 90,  Reward: 0.2 Cleared lines: 19
Epoch: 164 / 5000, Score: 4300,  block: 127,  Reward: 1.8 Cleared lines: 35
Epoch: 165 / 5000, Score: 11700,  block: 220,  Reward: 6.9 Cleared lines: 71
Epoch: 166 / 5000, Score: 1600,  block: 95,  Reward: 0.5 Cleared lines: 22
Epoch: 167 / 5000, Score: -1000,  block: 32,  Reward: -0.8 Cleared lines: 3
Epoch: 168 / 5000, Score: 100,  block: 63,  Reward: -0.3 Cleared lines: 9
Epoch: 169 / 5000, Score: 100,  block: 57,  Reward: -0.3 Cleared lines: 9
Epoch: 170 / 5000, Score: 4200,  block: 119,  Reward: 2.1 Cleared lines: 36
Epoch: 171 / 5000, Score: 4900,  block: 125,  Reward: 2.8 Cleared lines: 36
Epoch: 172 / 5000, Score: 6400,  block: 146,  Reward: 3.2 Cleared lines: 47
Epoch: 173 / 5000, Score: 3800,  block: 139,  Reward: 1.6 Cleared lines: 41
Epoch: 174 / 5000, Score: 500,  block: 78,  Reward: -0.1 Cleared lines: 15
Epoch: 175 / 5000, Score: 4100,  block: 143,  Reward: 1.7 Cleared lines: 40
Epoch: 176 / 5000, Score: 3900,  block: 101,  Reward: 1.9 Cleared lines: 25
Epoch: 177 / 5000, Score: 3500,  block: 99,  Reward: 2.1 Cleared lines: 24
Epoch: 178 / 5000, Score: 18900,  block: 339,  Reward: 10.5 Cleared lines: 120
Epoch: 179 / 5000, Score: 2500,  block: 76,  Reward: 1.2 Cleared lines: 19
Epoch: 180 / 5000, Score: -1300,  block: 39,  Reward: -1.0 Cleared lines: 0
Epoch: 181 / 5000, Score: -1200,  block: 38,  Reward: -0.9 Cleared lines: 1
Epoch: 182 / 5000, Score: 3500,  block: 119,  Reward: 1.4 Cleared lines: 32
Epoch: 183 / 5000, Score: 8300,  block: 193,  Reward: 4.1 Cleared lines: 61
